qIdx, omegaMax, damping, mIdxE, torqueSignE, tauMaxE, omegaMaxE, mIdxF, torqueSignF, tauMaxF, omegaMaxF 
6.0000000000000000e+00, 1.3535025000000001e+01, 1.6863509658794993e+00, 0.0000000000000000e+00, 1.0000000000000000e+00, 2.2576929479642297e+02, 1.3535025000000001e+01, 1.0000000000000000e+00, -1.0000000000000000e+00, 1.5729300000000001e+02, 9.1804299999999994e+00
7.0000000000000000e+00, 1.9216100000000001e+01, 1.0722079494324823e+00, 2.0000000000000000e+00, -1.0000000000000000e+00, 2.8561900000000003e+02, 1.9216100000000001e+01, 3.0000000000000000e+00, 1.0000000000000000e+00, 9.8757900000000006e+01, 1.6632999999999999e+01
8.0000000000000000e+00, 1.7274600000000000e+01, 5.9186065731838344e-01, 4.0000000000000000e+00, 1.0000000000000000e+00, 1.2756100000000001e+02, 1.1764600000000000e+01, 5.0000000000000000e+00, -1.0000000000000000e+00, 4.4310600000000001e+01, 1.7274600000000000e+01
9.0000000000000000e+00, 1.3535025000000001e+01, 1.6863509658794993e+00, 6.0000000000000000e+00, 1.0000000000000000e+00, 2.2576929479642297e+02, 1.3535025000000001e+01, 7.0000000000000000e+00, -1.0000000000000000e+00, 1.5729300000000001e+02, 9.1804299999999994e+00
1.0000000000000000e+01, 1.9216100000000001e+01, 1.0722079494324823e+00, 8.0000000000000000e+00, -1.0000000000000000e+00, 2.8561900000000003e+02, 1.9216100000000001e+01, 9.0000000000000000e+00, 1.0000000000000000e+00, 9.8757900000000006e+01, 1.6632999999999999e+01
1.1000000000000000e+01, 1.7274600000000000e+01, 5.9186065731838344e-01, 1.0000000000000000e+01, 1.0000000000000000e+00, 1.2756100000000001e+02, 1.1764600000000000e+01, 1.1000000000000000e+01, -1.0000000000000000e+00, 4.4310600000000001e+01, 1.7274600000000000e+01
1.2000000000000000e+01, 1.9231000000000002e+01, 3.0349977763316884e+00, 1.2000000000000000e+01, -1.0000000000000000e+00, 6.1441417726307088e+02, 7.9869500000000002e+00, 1.3000000000000000e+01, 1.0000000000000000e+00, 2.1165000000000001e+02, 1.9231000000000002e+01
1.3000000000000000e+01, 1.9231000000000002e+01, 3.0349977763316884e+00, 1.4000000000000000e+01, -1.0000000000000000e+00, 6.1441417726307088e+02, 7.9869500000000002e+00, 1.5000000000000000e+01, 1.0000000000000000e+00, 2.1165000000000001e+02, 1.9231000000000002e+01
1.4000000000000000e+01, 9.1804299999999994e+00, 5.4933645649420060e-01, 1.6000000000000000e+01, -1.0000000000000000e+00, 5.0000000000000000e+01, 9.0233500000000006e+00, 1.7000000000000000e+01, 1.0000000000000000e+00, 5.0000000000000000e+01, 9.1804299999999994e+00
1.5000000000000000e+01, 1.9076400000000000e+01, 6.1864777185820974e-01, 1.8000000000000000e+01, 1.0000000000000000e+00, 1.2740100000000000e+02, 1.6248999999999999e+01, 1.9000000000000000e+01, -1.0000000000000000e+00, 9.1138800000000003e+01, 1.9076400000000000e+01
1.6000000000000000e+01, 1.8449999999999999e+01, 4.6855485636114913e-01, 2.0000000000000000e+01, 1.0000000000000000e+00, 6.9872799999999998e+01, 1.8449999999999999e+01, 2.1000000000000000e+01, -1.0000000000000000e+00, 1.0138400000000000e+02, 1.8100000000000001e+01
1.7000000000000000e+01, 2.1770000000000000e+01, 1.3886956521739130e-01, 2.2000000000000000e+01, 1.0000000000000000e+00, 3.1421700000000001e+01, 1.8020000000000000e+01, 2.3000000000000000e+01, -1.0000000000000000e+00, 2.3834499999999998e+01, 2.1770000000000000e+01
1.8000000000000000e+01, 1.9076400000000000e+01, 6.1864777185820974e-01, 2.4000000000000000e+01, 1.0000000000000000e+00, 1.2740100000000000e+02, 1.6248999999999999e+01, 2.5000000000000000e+01, -1.0000000000000000e+00, 9.1138800000000003e+01, 1.9076400000000000e+01
1.9000000000000000e+01, 1.8449999999999999e+01, 4.6855485636114913e-01, 2.6000000000000000e+01, 1.0000000000000000e+00, 6.9872799999999998e+01, 1.8449999999999999e+01, 2.7000000000000000e+01, -1.0000000000000000e+00, 1.0138400000000000e+02, 1.8100000000000001e+01
2.0000000000000000e+01, 2.1770000000000000e+01, 1.3886956521739130e-01, 2.8000000000000000e+01, 1.0000000000000000e+00, 3.1421700000000001e+01, 1.8020000000000000e+01, 2.9000000000000000e+01, -1.0000000000000000e+00, 2.3834499999999998e+01, 2.1770000000000000e+01
