frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
0, 0, 0.00872424, 0.00593438, 0.00801285, 0.0053445, 0.00368973, 0.00851617, 0.00300725, 0.00354098, 0.00197325, 0.00109944, 0.00699685, 0.00913632, 0.00823128, 0.0106691, 0.00910466, 0.00741732, 0.00425765, 0.00373044, 0.00536859, 0.00348387, 0.00500439, 0.0028879, 0.00340813, 0.00817013, 0.00537477, 0.00671782, 0.00333587, 0.00356241, 0.00497312, 0.005665, 0.00417239, 0.000145938, 0.00330352, 0.0226777, 0.0143119, 0.0113614, 0.0145827
1, 18, 0.00890352, 0.00603655, 0.00807158, 0.00540996, 0.00360066, 0.0083869, 0.00307959, 0.00365645, 0.00197238, 0.00110349, 0.00701179, 0.00918911, 0.00822563, 0.0106516, 0.00908976, 0.00740592, 0.00419477, 0.00374611, 0.00526914, 0.00336522, 0.00518996, 0.0030428, 0.00349235, 0.00750383, 0.00519268, 0.0062674, 0.00330671, 0.00359553, 0.00501488, 0.00568574, 0.00419675, 0.00016114, 0.00314507, 0.0226081, 0.0142291, 0.0112846, 0.0144807
2, 19, 0.00915119, 0.00619246, 0.00812201, 0.00546403, 0.00351327, 0.0082513, 0.00316638, 0.00378509, 0.00197346, 0.00110664, 0.00702186, 0.00922621, 0.00821817, 0.0106334, 0.00908122, 0.00739841, 0.00413042, 0.00377039, 0.00513577, 0.00331647, 0.00536968, 0.00321929, 0.00358629, 0.00674615, 0.00491027, 0.00572297, 0.00320979, 0.00364403, 0.00505262, 0.00569035, 0.00420659, 0.000160121, 0.00300887, 0.0225219, 0.0141457, 0.0112119, 0.014379
3, 19, 0.00944828, 0.00639374, 0.00815188, 0.00550935, 0.00343442, 0.00810837, 0.00326729, 0.00393041, 0.00197923, 0.00111208, 0.00702432, 0.00924488, 0.00820667, 0.01061, 0.00908104, 0.00739324, 0.00406163, 0.00380198, 0.00496067, 0.00335261, 0.00551531, 0.00341556, 0.00368566, 0.00588147, 0.004536, 0.00508462, 0.0030562, 0.00370261, 0.00507835, 0.00567443, 0.00420076, 0.000133504, 0.00292363, 0.0224093, 0.0140599, 0.0111412, 0.0142794
4, 18, 0.00977202, 0.00662554, 0.00815911, 0.00555358, 0.00337113, 0.0079572, 0.00338245, 0.00409653, 0.00199334, 0.00112294, 0.00701736, 0.00924719, 0.00818799, 0.0105726, 0.00909191, 0.00738894, 0.00399332, 0.00384328, 0.00473916, 0.00348555, 0.00560238, 0.00362725, 0.00378799, 0.00490918, 0.00409788, 0.00437053, 0.00286933, 0.00376206, 0.00508789, 0.0056405, 0.00418132, 8.34753e-05, 0.00291082, 0.0222609, 0.0139672, 0.0110673, 0.0141799
5, 16, 0.010108, 0.00687659, 0.00814678, 0.00560063, 0.00332828, 0.00779976, 0.00351189, 0.00428581, 0.002019, 0.00114051, 0.00700113, 0.00923856, 0.00815889, 0.0105123, 0.00911538, 0.00738404, 0.00393872, 0.00389843, 0.00447002, 0.00371463, 0.00561347, 0.00384284, 0.00389077, 0.00389145, 0.0036449, 0.00364283, 0.00267715, 0.00380855, 0.00508064, 0.00559589, 0.00415173, 2.26992e-05, 0.00298015, 0.0220734, 0.0138642, 0.0109867, 0.0140785
6, 18, 0.0104561, 0.00714543, 0.00811703, 0.00564744, 0.00330644, 0.00764036, 0.00365587, 0.00449805, 0.00206042, 0.0011654, 0.00697882, 0.00922549, 0.00811711, 0.0104229, 0.00915373, 0.00737846, 0.00391301, 0.0039696, 0.00415799, 0.00400897, 0.00554505, 0.00404711, 0.00399261, 0.00300129, 0.00324485, 0.00303693, 0.00251068, 0.00382545, 0.00505963, 0.00555134, 0.00411678, 2.8978e-05, 0.00312828, 0.0218535, 0.0137517, 0.0108994, 0.0139762
7, 20, 0.0108122, 0.00742884, 0.00806865, 0.00569008, 0.00330146, 0.0074826, 0.0038135, 0.00472998, 0.00212138, 0.00119761, 0.00695659, 0.00921519, 0.00806306, 0.0103032, 0.00921022, 0.00737418, 0.00392304, 0.00405365, 0.00381573, 0.00430414, 0.00541275, 0.0042276, 0.00409286, 0.00258159, 0.00297335, 0.00275618, 0.00239661, 0.00379797, 0.00503107, 0.00551946, 0.00408382, 5.09377e-05, 0.0033415, 0.0216173, 0.0136362, 0.0108104, 0.0138792
8, 20, 0.0111484, 0.00770967, 0.00799632, 0.00572602, 0.00330734, 0.00732879, 0.00398025, 0.00497496, 0.00220041, 0.00123517, 0.00694168, 0.00921551, 0.00800105, 0.0101579, 0.00928588, 0.00737403, 0.00395986, 0.00414086, 0.00346602, 0.00452884, 0.00525135, 0.00437869, 0.00419051, 0.00288731, 0.00287581, 0.00291827, 0.00234295, 0.00371875, 0.00500412, 0.0055112, 0.00406097, 2.9721e-05, 0.00359889, 0.0213891, 0.0135281, 0.0107275, 0.0137966
9, 21, 0.01143, 0.0079677, 0.00788989, 0.00575074, 0.00332057, 0.0071793, 0.00414749, 0.00522336, 0.00228936, 0.00127414, 0.00693996, 0.00923522, 0.00793864, 0.00999599, 0.00937751, 0.00738008, 0.00400235, 0.00421928, 0.00314444, 0.00464515, 0.00509531, 0.00450408, 0.00428302, 0.00363282, 0.00292549, 0.00338372, 0.00233337, 0.00358771, 0.00498678, 0.00553229, 0.00405435, 3.81757e-05, 0.00387654, 0.0211989, 0.0134389, 0.0106592, 0.013738
