frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
0, 0, 0.00454941, 0.00284027, 0.000381766, 0.000846252, 0.00146238, 0.00241349, 0.00133419, 0.00261899, 0.00217486, 0.00105299, 0.00498653, 0.00436248, 0.00475542, 0.0114822, 0.0100045, 0.00370033, 0.00717726, 0.00673432, 0.0030061, 0.00440347, 0.0053782, 0.00532159, 0.00397222, 0.0106852, 0.00153003, 0.0116645, 0.00122352, 0.00571786, 0.00477545, 0.000387889, 0.00210401, 0.000476771, 0.00394062, 0.00417977, 0.000758553, 0.00121056, 0.00109236
1, 99, 0.00460506, 0.00287532, 0.000392465, 0.000840058, 0.00150197, 0.00246465, 0.00136723, 0.00266721, 0.00221051, 0.0010676, 0.00497965, 0.00437061, 0.00475567, 0.0114664, 0.0100283, 0.00370555, 0.00715699, 0.00671127, 0.0030188, 0.00442068, 0.00535078, 0.00534788, 0.00395339, 0.0107348, 0.00145771, 0.0116598, 0.00122071, 0.0056842, 0.00473549, 0.000385399, 0.00209241, 0.000473002, 0.00390873, 0.00418432, 0.00073464, 0.00119044, 0.00107212
2, 115, 0.00465031, 0.00291147, 0.00039702, 0.000847901, 0.00154732, 0.00248866, 0.00140644, 0.00272293, 0.00223317, 0.00107733, 0.00495909, 0.00438639, 0.00474297, 0.0114374, 0.0100493, 0.00371014, 0.00711424, 0.00668294, 0.00302901, 0.0043964, 0.0052885, 0.00534666, 0.00390352, 0.0108201, 0.00138408, 0.0116813, 0.00122481, 0.00561754, 0.00466562, 0.00037879, 0.0020648, 0.000467377, 0.00389078, 0.00418305, 0.000715616, 0.00118446, 0.00105741
3, 125, 0.00467958, 0.00294621, 0.000388723, 0.000873301, 0.00159108, 0.00248038, 0.00145213, 0.00278122, 0.00223182, 0.00107852, 0.00492557, 0.00440905, 0.00471764, 0.011394, 0.0100671, 0.00371328, 0.0070492, 0.0066517, 0.00301825, 0.00433073, 0.00519824, 0.00531357, 0.00382902, 0.0108997, 0.00132671, 0.0117196, 0.00123839, 0.00551386, 0.00456459, 0.000367302, 0.00201721, 0.000458982, 0.00388593, 0.00416879, 0.000704958, 0.0011906, 0.0010502
4, 131, 0.00468922, 0.00297908, 0.0003665, 0.000919545, 0.00163238, 0.00243414, 0.0015063, 0.0028387, 0.00220147, 0.00106964, 0.00487887, 0.00444048, 0.00468163, 0.0113362, 0.0100874, 0.00371678, 0.0069708, 0.0066218, 0.00296287, 0.00423882, 0.00509328, 0.0052625, 0.00374586, 0.0109303, 0.00128756, 0.0117552, 0.00126239, 0.0053758, 0.00443647, 0.000351186, 0.00194981, 0.000447784, 0.00388523, 0.00413583, 0.000703133, 0.00120015, 0.00104958
5, 134, 0.00468017, 0.00301166, 0.000340481, 0.000988888, 0.00168081, 0.00233861, 0.00157449, 0.00289985, 0.0021473, 0.00105294, 0.00481789, 0.00448461, 0.00463665, 0.0112637, 0.0101209, 0.00372494, 0.00689582, 0.00659977, 0.00284343, 0.00414767, 0.00498814, 0.00521871, 0.00367543, 0.0108968, 0.00125756, 0.0117742, 0.00129776, 0.00521186, 0.00429018, 0.0003316, 0.00186791, 0.000435168, 0.00387233, 0.00407919, 0.000707736, 0.0011999, 0.00105231
6, 137, 0.00465835, 0.00304759, 0.000332113, 0.00107932, 0.00175412, 0.00218125, 0.00166435, 0.00297692, 0.00208404, 0.00103443, 0.00474076, 0.00454466, 0.00458228, 0.0111733, 0.0101784, 0.00374314, 0.00684031, 0.00659212, 0.00267201, 0.00408651, 0.00489326, 0.00520302, 0.00364062, 0.0108192, 0.00122858, 0.0117774, 0.00134564, 0.0050339, 0.00413647, 0.000310251, 0.00177969, 0.000423528, 0.00382927, 0.00399977, 0.000714578, 0.00117733, 0.00105376
7, 138, 0.00463495, 0.00309073, 0.000357155, 0.00118255, 0.00187024, 0.00196012, 0.0017827, 0.00308338, 0.00203335, 0.00102314, 0.00464426, 0.00462257, 0.00451625, 0.0110602, 0.0102669, 0.00377571, 0.00681119, 0.0066021, 0.00249347, 0.0040767, 0.00481091, 0.00522159, 0.0036587, 0.0107368, 0.00119823, 0.0117796, 0.00140556, 0.00485228, 0.00398468, 0.000288975, 0.00169249, 0.000415215, 0.00374363, 0.00390665, 0.000719061, 0.00112648, 0.0010493
8, 140, 0.00462562, 0.00314273, 0.000401072, 0.00128345, 0.00203806, 0.00169362, 0.00193333, 0.00322531, 0.00201892, 0.00102935, 0.0045249, 0.00471817, 0.00443687, 0.0109224, 0.0103852, 0.00382367, 0.0068073, 0.00662835, 0.00234577, 0.00412298, 0.00473228, 0.00526914, 0.00373185, 0.0106881, 0.00116746, 0.0117967, 0.00147482, 0.00467225, 0.00383883, 0.000269582, 0.00161177, 0.000411686, 0.00361462, 0.00381234, 0.000718307, 0.00105006, 0.00103648
9, 141, 0.00464269, 0.0031995, 0.00042419, 0.00135906, 0.00225676, 0.0014202, 0.00211671, 0.0033988, 0.00206088, 0.00106195, 0.00438044, 0.00482858, 0.00434456, 0.010763, 0.0105235, 0.00388343, 0.0068217, 0.00666541, 0.00223222, 0.00421205, 0.00464013, 0.00533408, 0.00384367, 0.0106966, 0.00114009, 0.0118364, 0.00155008, 0.00449524, 0.00369784, 0.000253898, 0.00154042, 0.000413195, 0.00345477, 0.00372593, 0.000713192, 0.00095768, 0.00101721
