frame, steps, LASI, LPSI, RASI, RPSI, RKNE, RTHI, RANK, RTIB, RHEE, RTOE, LKNE, LTHI, LANK, LTIB, LHEE, LTOE, C7, CLAV, LSHO, RBAK, RSHO, STRN, T10, LBHD, LFHD, RBHD, RFHD, RELB, RUPA, RWRA, RWRB, RFIN, LELB, LUPA, LWRA, LWRB, LFIN
0, 26, 0.011156, 0.009023, 0.00673185, 0.00655671, 0.00527853, 0.0107029, 0.00315389, 0.00114248, 0.00391864, 0.00204167, 0.00844377, 0.00726505, 0.00832255, 0.0130916, 0.0111306, 0.00829004, 0.00722496, 0.00657031, 0.0107733, 0.00626381, 0.00666408, 0.00531458, 0.0056963, 0.0077932, 0.00890697, 0.00742175, 0.00407917, 0.0015699, 0.00676262, 0.00717123, 0.00504409, 0.00238764, 0.00926684, 0.0270248, 0.0115336, 0.00803307, 0.0117178
1, 26, 0.0112243, 0.00909575, 0.00685201, 0.00668427, 0.00522649, 0.0106327, 0.00314376, 0.00120201, 0.00392601, 0.00206357, 0.00837063, 0.00723156, 0.00824854, 0.0128926, 0.011266, 0.00830056, 0.00718361, 0.00656698, 0.0105, 0.00622017, 0.00685691, 0.00539829, 0.00577234, 0.00789689, 0.00882195, 0.00751565, 0.00403617, 0.00134867, 0.00691615, 0.00734331, 0.00515217, 0.0026189, 0.0088854, 0.0266557, 0.0114823, 0.00797697, 0.0116352
2, 26, 0.0113707, 0.00920035, 0.00700863, 0.0068175, 0.00515875, 0.0105458, 0.00314242, 0.001279, 0.00393563, 0.00208686, 0.00829004, 0.00718894, 0.00817603, 0.0126858, 0.0114103, 0.00831003, 0.00715321, 0.00657296, 0.0102078, 0.00616819, 0.00706307, 0.00548419, 0.00584873, 0.00801195, 0.00872679, 0.0076198, 0.00398656, 0.00113807, 0.00707108, 0.00752832, 0.00526284, 0.00286338, 0.00846932, 0.0262665, 0.0114357, 0.00792385, 0.0115651
3, 26, 0.0115991, 0.0093417, 0.00717271, 0.00694065, 0.00508315, 0.0104551, 0.00314474, 0.00136646, 0.00394243, 0.00210682, 0.00820643, 0.00714784, 0.00811473, 0.0124809, 0.0115594, 0.00831963, 0.00712963, 0.00658387, 0.00988855, 0.00609507, 0.00729614, 0.00556651, 0.00591976, 0.00811894, 0.0086311, 0.00772349, 0.00393032, 0.000948631, 0.00722672, 0.00771359, 0.00537081, 0.00310341, 0.00804502, 0.0258619, 0.0113802, 0.00787295, 0.0114872
4, 25, 0.0118763, 0.00950674, 0.00730701, 0.00703707, 0.00500799, 0.0103712, 0.0031455, 0.00145752, 0.00394298, 0.00212076, 0.00812413, 0.00711896, 0.00807122, 0.0122857, 0.011707, 0.00832929, 0.00710277, 0.00659058, 0.00954022, 0.00598705, 0.00756193, 0.00563795, 0.00597793, 0.00818691, 0.00854323, 0.00780979, 0.00386443, 0.000787762, 0.00738222, 0.00788795, 0.00547304, 0.00332346, 0.00763554, 0.0254472, 0.011303, 0.00781935, 0.0113833
5, 25, 0.0121488, 0.00967085, 0.00737591, 0.00709104, 0.00493885, 0.0102998, 0.00314128, 0.0015457, 0.00393539, 0.00212744, 0.00804574, 0.00710965, 0.00804676, 0.0121043, 0.0118449, 0.0083372, 0.00705866, 0.0065813, 0.00917724, 0.00583858, 0.00785852, 0.00569147, 0.00601515, 0.00817696, 0.00847181, 0.00785697, 0.00378548, 0.000654396, 0.00753763, 0.00804638, 0.00557005, 0.00351673, 0.00725871, 0.025033, 0.0111953, 0.00775574, 0.0112431
6, 25, 0.0123636, 0.00980887, 0.00734984, 0.00709091, 0.00487638, 0.0102408, 0.00313177, 0.00162621, 0.0039203, 0.00212765, 0.00797149, 0.00712205, 0.00803623, 0.0119358, 0.0119651, 0.00834011, 0.00699116, 0.00655029, 0.00882483, 0.00566391, 0.00817359, 0.00572321, 0.00602712, 0.00807029, 0.00841736, 0.00785354, 0.0036902, 0.000541398, 0.00769291, 0.00819008, 0.00566426, 0.00368642, 0.00692741, 0.0246344, 0.0110547, 0.00767604, 0.0110661
7, 25, 0.0124815, 0.00990112, 0.00721028, 0.00703124, 0.00481814, 0.0101888, 0.00311989, 0.00169809, 0.00390145, 0.00212442, 0.00790061, 0.0071528, 0.00803011, 0.0117742, 0.0120625, 0.00833529, 0.00690811, 0.00650298, 0.00850594, 0.00548989, 0.00848737, 0.00573532, 0.00601739, 0.00788747, 0.00837329, 0.00780921, 0.0035806, 0.000439988, 0.00784723, 0.00832383, 0.0057582, 0.00384194, 0.00665135, 0.0242679, 0.0108852, 0.00757803, 0.0108596
8, 25, 0.0124854, 0.00993602, 0.00695962, 0.00691548, 0.00476103, 0.0101339, 0.00311076, 0.00176448, 0.0038847, 0.00212211, 0.00783252, 0.00719556, 0.00801898, 0.0116124, 0.0121381, 0.00832274, 0.00682712, 0.00645374, 0.00823294, 0.00533475, 0.00878326, 0.00573737, 0.0059982, 0.00768092, 0.00833442, 0.00775102, 0.00346779, 0.000344139, 0.00799951, 0.0084523, 0.00585316, 0.00399149, 0.00643406, 0.0239481, 0.0106958, 0.00746417, 0.010636
9, 25, 0.0123907, 0.00991604, 0.00662629, 0.00675536, 0.00470161, 0.0100628, 0.00311119, 0.00183234, 0.0038771, 0.00212544, 0.00776741, 0.00724509, 0.00799817, 0.0114439, 0.0121997, 0.00830604, 0.0067688, 0.00642036, 0.00800647, 0.00520476, 0.00905403, 0.00574265, 0.00598596, 0.00750851, 0.00829627, 0.0077098, 0.00336607, 0.000251243, 0.00814963, 0.00857774, 0.00595015, 0.00413811, 0.00627167, 0.0236858, 0.010501, 0.00734161, 0.0104125
10, 25, 0.0122387, 0.00985669, 0.00625308, 0.00656744, 0.00463631, 0.00996107, 0.00312836, 0.00190973, 0.00388662, 0.00213936, 0.00770644, 0.00730178, 0.00796954, 0.0112657, 0.0122569, 0.0082908, 0.0067479, 0.00641507, 0.00782266, 0.00510926, 0.00930028, 0.00575953, 0.00599149, 0.00740243, 0.00825361, 0.00770334, 0.00328414, 0.000162747, 0.00830102, 0.0087029, 0.00605135, 0.00428366, 0.00615532, 0.0234896, 0.0103185, 0.00722089, 0.0102085
11, 24, 0.0120716, 0.00977719, 0.00587827, 0.00636659, 0.00456403, 0.00981725, 0.0031676, 0.00200264, 0.00392121, 0.00216827, 0.0076515, 0.00737216, 0.00793974, 0.0110773, 0.0123181, 0.00828235, 0.00676527, 0.00643816, 0.00768214, 0.0050615, 0.00952696, 0.00578761, 0.00601488, 0.00735915, 0.00820645, 0.00772813, 0.003223, 0.000105331, 0.00846081, 0.00883296, 0.0061607, 0.00443333, 0.0060777, 0.0233661, 0.0101626, 0.00711151, 0.0100384
12, 24, 0.0119183, 0.00969132, 0.00552724, 0.00616281, 0.00448717, 0.00962835, 0.0032299, 0.00211263, 0.00398457, 0.0022134, 0.00760577, 0.00746464, 0.00791636, 0.0108807, 0.0123877, 0.00828406, 0.00681071, 0.00648144, 0.0075913, 0.00506279, 0.00974031, 0.00582257, 0.00605048, 0.00735207, 0.00815812, 0.0077657, 0.00317839, 0.000167102, 0.00863713, 0.00897559, 0.00628451, 0.00459627, 0.00603731, 0.0233167, 0.0100391, 0.0070182, 0.00990645
13, 24, 0.0118058, 0.00961224, 0.00520805, 0.0059553, 0.00441147, 0.00939986, 0.00331138, 0.0022376, 0.00407211, 0.0022707, 0.00757343, 0.00758497, 0.00790441, 0.0106803, 0.0124661, 0.0082966, 0.0068703, 0.00653549, 0.00755699, 0.00509411, 0.00994493, 0.0058629, 0.00609392, 0.00735172, 0.00810784, 0.00779531, 0.00314387, 0.000326999, 0.00883634, 0.00913823, 0.00643041, 0.00478181, 0.0060383, 0.0233361, 0.00994415, 0.00693967, 0.00980715
14, 24, 0.0117674, 0.00955568, 0.00491034, 0.00573153, 0.0043445, 0.00914166, 0.00340566, 0.00237458, 0.00417273, 0.00233299, 0.0075581, 0.00773455, 0.00790478, 0.0104832, 0.0125491, 0.00831756, 0.00693015, 0.00659192, 0.00758259, 0.00512274, 0.0101426, 0.00590994, 0.00614392, 0.00733368, 0.00805332, 0.00779954, 0.00311308, 0.000554637, 0.00906345, 0.00932392, 0.00660349, 0.00499377, 0.00608512, 0.023416, 0.00986828, 0.00687081, 0.00972986
15, 24, 0.0118232, 0.00952971, 0.0046192, 0.00547598, 0.00429505, 0.00886399, 0.00350747, 0.00252177, 0.00427712, 0.00239498, 0.00756075, 0.00791063, 0.00791473, 0.0102994, 0.0126272, 0.00834151, 0.00697769, 0.00664271, 0.00766774, 0.00512202, 0.0103389, 0.00596434, 0.00619942, 0.00728226, 0.00800008, 0.00776692, 0.00308393, 0.00084548, 0.00932479, 0.00953278, 0.00680444, 0.00523195, 0.00618089, 0.0235508, 0.00980112, 0.00680558, 0.00966274
16, 24, 0.0119554, 0.00952276, 0.00432682, 0.00518058, 0.00427098, 0.00857677, 0.00361321, 0.00267574, 0.00438307, 0.00245571, 0.00757812, 0.00810691, 0.00792973, 0.0101413, 0.0126857, 0.00836086, 0.00700134, 0.0066794, 0.00781226, 0.0050873, 0.010551, 0.00602453, 0.00625717, 0.00719757, 0.00796553, 0.00769728, 0.00306196, 0.00119191, 0.00962681, 0.00976689, 0.00703336, 0.00549826, 0.00632844, 0.0237383, 0.00973233, 0.00673773, 0.00959438
